FID IID In_Regression PRS
082125Sm 6100036501 No -0.00253342222
082130Sm 8110025101 No -0.0322497444
082131Sm 8110034401 No 0.0219956778
082133Sm 6100032201 No -0.0204628778
082134Sm 6100036801 No -0.0227656222
082139Sm 8110026701 Yes 0.0343485667
082140Sm 8110036501 No 0.0475246889
082141Sm 8110040601 No 0.00339861111
082142Sm 6100035601 Yes 0.00250234444
082143Sm 6100036701 No 0.0478224
082151Sm 6100035801 No 0.00379518889
082152Sm 8110024401 No 0.00738887778
082156Sm 2510010201 No 0.193388611
082157Sm 8110036301 Yes 0.00865698889
082159Sm 6110036001 No 0.0707636444
082160Sm 6100034601 No -0.0168242111
082168Sm 6120223201 No 0.0456435111
082169Sm 6100035901 No 0.00825407778
082170Sm 1100586801 No 0.0249859444
082174Sm 8110025701 No -0.0328197667
082177Sm 6120219701 No 0.0511272222
082178Sm 6100036201 Yes 0.00681655556
082185Sm 6100050401 No 0.0255971889
082188Sm 8110017101 No -0.00156234444
082189Sm 8110025201 No -0.00472126667
082191Sm 1100295101 No 0.2552466
082193Sm 5500019302 No 0.0034335
082194Sm 6100050501 No 0.108405056
082196Sm 8110005301 No 0.0357587667
082197Sm 8110017201 No 0.0306478111
082198Sm 8110026401 No 0.0507573889
082204Sm 8120014901 No 0.0159907889
082205Sm 8110006001 No 0.0369593333
082206Sm 8110017301 No 0.0255355667
082207Sm 8110020301 No 0.0619307778
082211Sm 6100048701 No 0.0016022
082216Sm 8110017401 No -0.0103621222
082223Sm 2504003601 No -0.0351066
082224Sm 8110016401 No -0.0167129889
082225Sm 8110017701 Yes 0.0240506667
082233Sm 8110016601 Yes 0.0377347222
082234Sm 8110017801 No -0.0306589111
082239Sm 8120014501 No 0.0844610889
082241Sm 8110016701 No 0.0830411778
082242Sm 8110017901 No 0.074919
082248Sm 8120014601 No 0.0937477667
082250Sm 8110016901 No -0.0327270444
082251Sm 8110018001 No 0.0543331444
082259Sm 8110017001 No -0.0083533
082260Sm 8110018101 No 0.0374421556
082261Sm 8110018301 No 0.0142747556
082262Sm 8110001201 No 0.0496531889
082263Sm 8110005901 Yes 0.0182766222
082265Sm 8110020201 No 0.0119610889
082266Sm 8110022301 No 0.0277247222
082270Sm 8110018501 No 0.0568175111
082271Sm 8110001301 No 0.0543538778
082272Sm 8110006301 No 0.0285381556
082273Sm 5500015201 No 0.0316443444
082274Sm 8110020401 Yes -0.0115169556
082278Sm 5100003405 No 0.0676858222
082279Sm 8110018601 No 0.0220641444
082280Sm 8110001501 No 0.0623047444
082281Sm 8110009401 No 0.0268638444
082282Sm 8110019201 No 0.00980161111
082283Sm 8110020801 No 0.0156280889
082284Sm 8110022601 No -0.00880898889
082288Sm 8110018701 No 0.0626174222
082289Sm 8110002701 No -0.0039324
082290Sm 8110011701 No -0.0266152444
082291Sm 8110019301 No 0.0455210333
082292Sm 8110021101 Yes 0.0449448111
082293Sm 5500078701 No -0.031587
082297Sm 8110018801 No 0.0381307667
082298Sm 8110004101 Yes 0.0435586889
082299Sm 8110011901 No 0.0587539222
082300Sm 8110019401 No 0.0329879444
082301Sm 8110021201 No 0.0770802444
082306Sm 8110000101 No 0.0396099556
082307Sm 8110004201 No 0.0247487333
082308Sm 8110013901 No -0.000978244444
082309Sm 8110019701 Yes 0.0224048333
082314Sm 1100300405 No 0.0242448444
082316Sm 8110000401 No 0.0191151111
082318Sm 8110014101 No -0.0129528333
082320Sm 8110021501 No 0.0206602
082325Sm 8110000501 No -0.00936682222
082326Sm 8110007401 No 0.0314556444
082327Sm 8110018401 No -0.0180517333
082328Sm 8110019901 No -0.000713011111
082329Sm 8110021601 No -0.0411866444
082334Sm 8110000801 No 0.0500755667
082335Sm 8110005101 Yes 0.0056827
082336Sm 8110018901 No -0.0299940222
082338Sm 8110022201 Yes 0.0544431444
082345Sm 8110008901 No 0.00862055556
082346Sm 8110005701 Yes 0.0922374778
082347Sm 8110002101 Yes 0.0356532889
082348Sm 8110001901 Yes 0.00979712222
082349Sm 5100268604 No 0.00840914444
082351Sm 8120015801 No 0.0436171667
082354Sm 8110006901 No -0.000606322222
082355Sm 8110004701 Yes 0.00292301111
082357Sm 8110001601 No 0.0346042111
082360Sm 8120015601 No 0.0652657778
082363Sm 8110009101 No -0.0090204
082364Sm 8110004501 No 0.0306482444
082365Sm 8110004401 No -0.00147542222
082366Sm 8110001401 No 0.0417446889
082369Sm 8120016001 No 0.0567548111
082372Sm 8110008401 No -0.00705865556
082373Sm 8110006201 Yes 0.0120223333
082374Sm 8110004001 Yes 0.0220830889
082381Sm 8110008801 No 0.0359167222
082382Sm 8110006501 No 0.0101939556
082383Sm 8110003501 No 0.0771356556
082387Sm 6100041302 No 0.0172582778
082390Sm 8110009601 No 0.0166514556
082391Sm 8110006801 No -0.0147149333
082392Sm 8110002901 No 0.0262839444
082395Sm 5500062001 Yes 0.0384112667
082396Sm 6120218201 No 0.0456018778
082398Sm 6100025801 No 0.0406244778
082399Sm 8110009501 No 0.0105722889
082400Sm 8110003101 Yes 0.0760970333
082401Sm 8110002801 No 0.110121667
082403Sm 5100266004 No 0.0618927444
082405Sm 6120230901 No 0.00967236667
082409Sm 8110004801 No 0.102051011
082410Sm 8110003901 No 0.0250990667
082411Sm 8110002601 No 0.00909277778
082414Sm 8120016201 No 0.0397473667
082415Sm 6120212501 No 0.0349971222
082417Sm 8110008001 No 0.0362084111
082418Sm 8110003801 No -0.0268562667
082419Sm 8110002501 No 0.00180806667
082420Sm 8110002001 Yes 0.000824955556
082423Sm 8120015701 No 0.0502031111
082424Sm 6120230801 Yes -0.0156119889
082425Sm 6100040801 No 0.000157433333
082431Sm 8120013601 No -0.0164700222
082433Sm 6100053801 No 0.0302807889
082434Sm 6100041501 No 0.0539780667
082438Sm 6110010804 No 0.0120319444
082441Sm 6100048501 No 0.0193925333
082442Sm 6100053901 No -0.00127393333
082444Sm 8120016801 No -0.000538244444
082447Sm 8120016301 No -0.00784146667
082450Sm 6100048601 No -0.0134673
082452Sm 6120212401 No 0.0313435556
082456Sm 8120016401 No 0.121807411
082460Sm 6100051001 No 0.0472911667
082461Sm 6100041401 No -0.0268869333
082465Sm 8120016501 No 0.0459898556
082469Sm 6100051201 Yes 0.0419235222
082473Sm 5500026103 No 0.0701332889
082474Sm 8120016601 No 0.0510301667
082478Sm 6100051301 No 0.0309748667
082479Sm 6100031801 Yes 0.0451229444
082481Sm 1100627201 No 0.0358085333
082487Sm 6120219801 Yes 0.000624344444
082489Sm 1100628201 Yes 0.0639127222
082491Sm 8120016101 No 0.0227347889
082492Sm 8120014001 Yes 0.0993836333
082495Sm 6100051101 No 0.0571439556
082496Sm 6100040701 Yes 0.110267422
082501Sm 8120013401 No -0.00589437778
082503Sm 6100053701 No 0.0136312444
082505Sm 6100053001 Yes 0.0486237889
082508Sm 8120014201 No 0.0557983667
082513Sm 6100033401 Yes -0.0172880556
082514Sm 6100033501 No 0.0205537111
082515Sm 6100053101 No 0.0501228667
082516Sm 8120006702 No -0.0285040111
082517Sm 8120014301 No 0.0316384333
082518Sm 8120005001 No 0.0881595444
082530Sm 5500019501 No 0.0562253222
082531Sm 5500012801 Yes 0.0049485
082532Sm 5500016501 No 0.0711841222
082534Sm 8120007402 No 0.0179535333
082535Sm 8120015101 No 0.0389426667
082536Sm 6100049801 No -0.00209548889
082539Sm 5500012901 No -0.00649826667
082543Sm 8120007602 No 0.0277852111
082544Sm 8120015301 No 0.0611218333
082549Sm 6120208301 No 0.0382540222
082550Sm 6110011901 Yes 0.0110519556
082552Sm 8120007801 No 0.203395033
082553Sm 5500005101 Yes -0.0174023889
082554Sm 6100050001 No 0.0041847
082557Sm 6100033801 No -0.00361027778
082558Sm 6110011801 No 0.0857015889
082559Sm 6110015101 No -0.0202735222
082561Sm 8120012101 No 0.0512300333
082567Sm 5500020101 No -0.0140373889
082568Sm 5500018301 No -0.0208262222
082570Sm 8120012401 No 0.0953234333
082575Sm 5500019201 Yes 0.0702734222
082578Sm 8120006502 No -0.0330268222
082579Sm 8120012601 No 0.0864563556
082584Sm 1100138201 No 0.0161973111
082585Sm 6120228301 No 0.0417200778
082590Sm 8110019501 No 0.0114761778
082591Sm 8110026601 No 0.0144589444
082592Sm 5500000701 No 0.0418935889
082594Sm 5500004101 Yes 0.0368059222
082595Sm 5500006201 No 0.0340975889
082599Sm 8110021801 No 0.0325454556
082600Sm 8110027001 No 0.0580229222
082603Sm 5500010101 No -0.0166036333
082605Sm 5500005901 No 0.0315817222
082607Sm 8120018701 Yes 0.0186340667
082609Sm 8110021901 No 0.00442858889
082610Sm 8110027401 No 0.0677069333
082611Sm 8120007001 No 0.0377798
082612Sm 5500010201 Yes 0.0377693778
082613Sm 5500004501 Yes -0.0255338222
082614Sm 5500020501 No 0.0226262222
082618Sm 8110022001 No 0.0761647778
082619Sm 8110027501 Yes 0.0304119222
082620Sm 6100054701 Yes 0.0139391111
082621Sm 5500019101 Yes 0.0440859222
082622Sm 5500005001 Yes 0.0652946667
082627Sm 8110023301 No 0.0145196556
082628Sm 8110034301 No 0.0452221444
082629Sm 8120009101 No 0.000805911111
082630Sm 5500019001 No 0.0566323444
082631Sm 5500005301 Yes -0.00880898889
082632Sm 5500018701 Yes -0.00323191111
082636Sm 8110024201 No 0.0372087556
082637Sm 8120004401 No 0.0283925667
082638Sm 5500016701 No 0.00111634444
082639Sm 5500005401 No 0.00116641111
082640Sm 5500018801 No 0.00212078889
082644Sm 8110025301 No 0.0261785111
082645Sm 8120009501 No 0.00599525556
082646Sm 5500015801 Yes 0.0298074778
082647Sm 5500005601 No -0.00677326667
082648Sm 5500017601 Yes 0.0284073222
082649Sm 1100282101 No 0.161801044
082652Sm 8110026201 No 0.0242219
082653Sm 8120004701 No 0.0698625222
082654Sm 8120009701 No 0.0122998
082655Sm 5500002001 No 0.0123229667
082656Sm 5500005701 No 0.0127554889
082657Sm 5500018901 No 0.0249509444
082658Sm 1100282201 No 0.153845067
082661Sm 8110026301 Yes 0.0416541
082663Sm 5500004201 No 0.0815852333
082664Sm 5500006001 No 0.0750926444
082665Sm 5500012001 Yes -0.0177415333
082666Sm 6100033601 No 0.0353668333
082667Sm 6100033701 Yes 0.0502239222
082668Sm 6120207701 No 0.0159151333
082670Sm 1100305801 No 0.140849689
082671Sm 1100629401 No 0.0233233111
082673Sm 5500000401 No 0.00147608889
082674Sm 5500001501 No -0.0163965778
082675Sm 5500020201 No 0.0672219556
082676Sm 5500013801 No 0.0770579111
082677Sm 6100035501 Yes 0.0227362444
082680Sm 6100054501 No 0.00368157778
082682Sm 5500000501 No 0.150235111
082683Sm 5500001601 No 0.0312733222
082684Sm 5500019901 No -0.0216206222
082685Sm 5500017501 No -0.0128693333
082686Sm 6100035701 Yes 0.00824508889
082687Sm 5500014301 No 0.0125448333
082691Sm 5500000601 No 0.0217768889
082692Sm 5500001701 Yes 0.0447632222
082695Sm 6100038801 No 0.230620844
082696Sm 5500014401 No 0.0718774778
082702Sm 5500001801 No 0.1141127
082703Sm 6110032601 No 0.0639768222
082704Sm 6110036101 Yes 0.0285670667
082705Sm 6100039601 No 0.0625566889
082706Sm 5500005201 Yes 0.0271024444
082708Sm 6100054901 Yes 0.0366406556
082710Sm 5500000801 No -0.0123445111
082711Sm 5500001901 No 0.0179054333
082712Sm 5500015501 No 0.0107899
082713Sm 6100032901 Yes 0.0615946333
082714Sm 6100040401 Yes 0.0553984778
082715Sm 5500012101 No -0.0008268
082717Sm 6100055001 No 0.0421370333
082719Sm 5500000901 No 0.0321679667
082720Sm 5500002101 No -0.0212297222
082721Sm 5500017701 No -0.0341531333
082722Sm 6120214001 No 0.00180944444
082726Sm 8120017801 No -0.0203549222
082728Sm 5500001101 Yes 0.0102899556
082729Sm 5500002201 No 0.0738453889
082731Sm 6100044601 No 0.0576418333
082736Sm 5500000101 No 0.00280867778
082737Sm 5500001201 No 0.0519656778
082738Sm 5500002401 No -0.00546927778
082739Sm 6100047801 No 0.0944634111
082745Sm 5500000301 No 0.0170902
082746Sm 5500001401 Yes 0.0379955778
082747Sm 5500002501 No -0.0412988333
082749Sm 5500008401 No 0.000399422222
082756Sm 5500039301 No 0.0613112778
082757Sm 5500002701 Yes 0.112718422
082758Sm 5500008901 No 0.00144987778
082763Sm 5500033401 No 0.0272105444
082764Sm 5500036301 No 0.0186989444
082766Sm 5500002801 No 0.0662241778
082767Sm 5500009201 No 0.0786928
082768Sm 2508007504 No 0.0186687667
082769Sm 6100042002 No 0.0668176
082770Sm 5500037901 No 0.0375499444
082771Sm 5500031201 No 0.0594232667
082772Sm 5500038101 No -0.0096582
082773Sm 5500039801 No 0.0205606556
082774Sm 5500041301 No -0.0262945444
082775Sm 5500002901 No 0.0482536444
082776Sm 5500009501 No 0.0295140333
082778Sm 5500039601 No 0.0318624111
082779Sm 5500005802 No 0.0219403444
082780Sm 5500039901 No -0.0230951444
082784Sm 5500003001 No 0.0189674222
082785Sm 5500009601 No -0.0164161111
082790Sm 1100422602 No 0.0305687111
082793Sm 5500004001 No -0.0336939222
082794Sm 5500010601 Yes 0.00659782222
082798Sm 5500041601 No -0.00927916667
082800Sm 5500041101 No 0.00300223333
082801Sm 8120011201 No 0.0145151444
082803Sm 5500007501 No 0.0062385
082804Sm 5500011101 Yes 0.0113177778
082806Sm 5500040101 No -0.00927916667
082807Sm 5500042601 No -0.0321353444
082808Sm 5500041201 No -0.00968093333
082809Sm 5500025101 Yes -0.0156285111
082811Sm 5500039101 No 0.103602944
082812Sm 5500007701 No 0.0468429444
082814Sm 5500001301 No 0.0401743778
082815Sm 6110018503 No 0.0561371333
